"id","id_wasp","id_secret","frame_type","frame_number","sensor","value","timestamp","sync","raw","parser_type","MeshliumID"
"1","WASPMOTE2","48581CE819623C3B","134","0","HUM","55.5","2002-05-25 19:20:25","0","noraw","1","20274081525527"
"2","WASPMOTE2","48581CE819623C3B","134","0","BAT","15","2002-05-25 19:20:25","0","noraw","1","20274081525527"
"3","WASPMOTE2","48581CE819623C3B","134","0","STR","new_sensor_frame","2002-05-25 19:20:25","0","noraw","1","20274081525527"
"4","WASPMOTE2","48581CE819623C3B","134","4","PRES","100740.69","2002-05-25 19:20:05","0","noraw","1","20274081525527"
"5","WASPMOTE2","48581CE819623C3B","134","4","HUM","55.1","2002-05-25 19:20:05","0","noraw","1","20274081525527"
"6","WASPMOTE2","48581CE819623C3B","134","4","BAT","15","2002-05-25 19:20:05","0","noraw","1","20274081525527"
"7","WASPMOTE2","48581CE819623C3B","134","4","STR","new_sensor_frame","2002-05-25 19:20:05","0","noraw","1","20274081525527"
"8","WASPMOTE2","48581CE819623C3B","134","3","PRES","100735.05","2002-05-25 19:19:42","0","noraw","1","20274081525527"
"9","WASPMOTE2","48581CE819623C3B","134","3","HUM","55.1","2002-05-25 19:19:42","0","noraw","1","20274081525527"
"21","SAP_NHOM15","48581CE819623C8B","134","0","PRES","100736.93","2023-05-26 02:20:25","0","noraw","1","20274081525527"
"22","SAP_NHOM15","48581CE819623C8B","134","0","HUM","55.5","2023-05-26 02:20:25","0","noraw","1","20274081525527"
"23","SAP_NHOM15","48581CE819623C8B","134","0","TC","24.53","2023-05-26 02:20:25","0","noraw","1","20274081525527"
"24","SAP_NHOM15","48581CE819623C8B","134","0","BAT","15","2023-05-26 02:20:25","0","noraw","1","20274081525527"
"25","SAP_NHOM15","48581CE819623C8B","134","0","STR","new_sensor_frame","2023-05-26 02:20:25","0","noraw","1","20274081525527"
"26","SAP_NHOM15","48581CE819623C8B","134","4","PRES","100740.69","2023-05-26 02:20:05","0","noraw","1","20274081525527"
"27","SAP_NHOM15","48581CE819623C8B","134","4","HUM","55.1","2023-05-26 02:20:05","0","noraw","1","20274081525527"
"28","SAP_NHOM15","48581CE819623C8B","134","4","TC","24.52","2023-05-26 02:20:05","0","noraw","1","20274081525527"
"29","SAP_NHOM15","48581CE819623C8B","134","4","BAT","15","2023-05-26 02:20:05","0","noraw","1","20274081525527"
"30","SAP_NHOM15","48581CE819623C8B","134","4","STR","new_sensor_frame","2023-05-26 02:20:05","0","noraw","1","20274081525527"
"31","SAP_NHOM15","48581CE819623C8B","134","3","PRES","100735.05","2023-05-26 02:19:42","0","noraw","1","20274081525527"
"32","SAP_NHOM15","48581CE819623C8B","134","3","HUM","55.1","2023-05-26 02:19:42","0","noraw","1","20274081525527"
"33","SAP_NHOM15","48581CE819623C8B","134","3","TC","24.54","2023-05-26 02:19:42","0","noraw","1","20274081525527"
"34","SAP_NHOM15","48581CE819623C8B","134","3","BAT","15","2023-05-26 02:19:42","0","noraw","1","20274081525527"
"35","SAP_NHOM15","48581CE819623C8B","134","3","STR","new_sensor_frame","2023-05-26 02:19:42","0","noraw","1","20274081525527"
"36","SAP_NHOM15","48581CE819623C8B","134","2","PRES","100737.53","2023-05-26 02:19:25","0","noraw","1","20274081525527"
"37","SAP_NHOM15","48581CE819623C8B","134","2","HUM","54.6","2023-05-26 02:19:25","0","noraw","1","20274081525527"
"38","SAP_NHOM15","48581CE819623C8B","134","2","TC","24.55","2023-05-26 02:19:25","0","noraw","1","20274081525527"
